est,fol,pid,sex,age,id1,id2,id3,id4,id5,id6,id7,id8,id9
80000,75,80075,1,21,6,6,6,6,6,4,6,6,3
80000,140,80140,2,22,6,6,6,6,6,4,5,6,4
80000,145,80145,1,64,7,7,7,7,7,7,7,7,7
80000,144,80144,2,60,7,7,7,7,7,7,7,7,7
80000,149,80149,2,50,7,7,7,7,7,7,7,7,7
80000,150,80150,2,49,7,7,7,7,7,6,7,7,7
80000,141,80141,1,59,6,7,7,6,6,5,6,6,5
80000,142,80142,2,58,7,6,7,7,6,7,7,7,7
80000,6,80006,2,22,6,6,7,5,5,4,5,6,2
80000,131,80131,1,23,5,5,5,5,5,4,5,5,4
80000,130,80130,1,63,6,6,6,6,4,4,6,6,4
80000,129,80129,2,21,6,6,7,6,6,4,4,6,6
80000,59,80059,2,54,5,5,5,6,5,5,6,6,5
80000,70,80070,1,24,6,6,6,6,6,6,6,6,6
80000,133,80133,1,31,6,5,6,7,4,4,6,6,4
