pid,age,sex,idm1,idm2,idm3,idm4,idm5,idm6,idm7,idm8,idm9
2321,28,1,5,5,5,5,5,5,5,5,5
2322,25,1,4,4,4,4,4,4,3,4,4
2323,25,1,5,5,5,5,5,4,4,4,4
2324,17,1,5,3,5,5,5,5,4,5,2
2325,19,0,5,5,5,5,5,5,5,5,5
2326,21,1,3,4,5,4,4,4,5,5,4
2328,16,1,4,4,4,3,4,3,5,5,3
2329,16,0,5,5,5,5,5,5,5,5, 
2330,22,1,4,4,5,4,4,4,5,5,4
2332,27,1,5,5,5,5,5,5,5,5,5
2336,23,1,4,4,4,4,4,2,4,4,2
2337,25,1,4,3,5,3,4,1,4,3,1
6001,51,1,5,5,5,5,5,4,5,5,5
6002,18,0,5,4,5,3,3,2,3,4,3
6003,56,0,5,5,5,5,4,5,5,4,5
6004,53,0,5,4,5,5,5,5,5,5,5
6005,57,1,5,5,5,5,5,5,5,5,5
6006,18,1,4,4,5,3,4,3,4,4,4
6007,55,1,5,5,5,5,5,5,5,5,5
6008,25,1,5,5,5,5,3,5,5,5,5
6009,38,0,5,5,5,5,5,5,5,5,3
6010,25,1,3,3,3,2,2,2,2,3,2
6011,23,1,4,4,4,4,4,4,4,4,5
6012,21,1,5,5,5,5,5,5,5,4,5
6014,51,1,5,5,5,5,5,3,5,5,5
6015,79,0,5,5,5,5,5,3,5,5,5
6016,72,1,5,5,5,5,5,3,5,5,5
6017,24,0,5,5,5,5,5,3,5,5,5
6018,18,0,5,4,5,3,3,2,3,4,3
6018,52,0,5,5,5,5,5,3,5,5,5
6021,22,1,5,5,5,5,5,5,5,5,3
6022,24,1,3,4,4,2,2,2,2,4,2
6023,22,1,5,4,5,5,4,3,4,4,3
6024,24,1,4,4,4,4,4,3,4,4,3
6025,54,0,5,5,5,5,5,4,4,5,3
6026,20,0,1,1,5,5,4,3,4,4,3
6027,22,1,1,3,3,1,1,1,3,2,1
6028,23,1,4,4,4,4,4,3,4,4,3
6029,56,1,5,5,5,5,5,5,5,5,4
6030,39,0,5,5,5,5,5,5,5,5,5
6031,46,1,5,5,5,5,5,4,5,5,5
6032,52,0,5,5,5,5,5,4,4,5, 
6032,52,0,5,5,5,5,5,4,4,5, 
6033,39,1,5,4,5,5,3,4,4,5,5
6034,33,0,1,1,3,1,1,2,1,1,1
6035,19,1,5,5,5,5,5,4,5,5,5
6036,36,1,5,4,4,4,4,3,3,4,5
6037,41,0,5,4,5,4,4,3,5,4,5
6038,22,1,5,4,5,5,5,4,4,4,5
6039,44,0,5,4,5,4,4,5,5,4,4
6040,52,0,5,5,5,5,5,5,5,5, 
6041,50,0,5,5,5,5,5,5,4,5,4
6043,25,1,3,5,2,1,2,1,4,3,1
6044,23,1,3,4,4,3,3,3,3,4,1
6045,24,1,5,5,5,5,5,5,4,4,5
6047,23,1,4,4,5,4,3,5,5,3,2
6049,24,0,3,5,5,4,3,3,3,3,1
6050,21,0,5,5,5,5,5,3,5,5,2
6051,22,1,1,1,1,1,1,1,1,1,1
6052,21,1,5,5,5,5,5,4, ,5,4
6054,54,0,5,5,5,5,5,4,5,5, 
6055,40,1,4,3,5,4,3,3,3,4,4
6056,22,1,5,5,5,5,5,5,5,5,5
6057,22,1,4,4,4,3,4,3,3,3,4
6058,18,1,5,5,5,5,5,5,5,5, 
6059,19,0,4,3,4,4,2,1,3,3,2
6060,19,1,5,5,5,5,4,5,4,5,5
6061,20,1,5,5,5,4,4,2,3,4,4
6062,27,0,5,4,5,5,5,4,4,4,5
6063,21,0,3,5,3,4,3,3,4,4,3
6064,20,0,4,4,4,4,3,3,4,4,3
6066,20,1,4,4,4,3,3,3,1,1,1
6067,18,0,5,5,5,4,4,3,3,4, 
6068,37,1,5,3,5,4,3,2,4,5, 
6069,24,1,5,5,5,5,5,5,5,5,5
6070,23,1,5,4,5,5,5,3,4,4,5
6071,24,1, , , , , , , , , 
6072,23,1,4,4,4,4,4,3,3,3,1
6073,21,1,5,5,5,5,5,5,5,5,5
6074,30,0,5,5,5,5,5,5,5,5,3
6100,54,0,5,5,5,5,5,5,5,5, 
6101,48,1,5,5,5,5,5,5,5,5,5
6102,45,0,4,5,4,5,5,4,5,5,4
6103,51,0,4,4,4,4,4,3,4,4,3
6104,48,0,5,5,5,5,5,5,5,5,5
6105,31,0,5,5,5,5,5,3,3,4,3
6106,33,0,5,5,5,5,5,5,5,5,4
6107,40,0,5,5,5,5,5,5,5,5,5
6108,29,1,5,5,5,5,4,3,5,5,5
6109,47,1,5,5,5,5,5,5,5,5,5
6110,33,1,5,5,5,5,5,5,5,5,5
6111,49,1,5,5,5,5,5,5,5,5,5
6112,51,0,4,4,4,4,4,2,4,4,3
6113,35,1,5,4,5,5,4,4,4,5,4
6114,44,0,3,4,4,4,4,3,4,4,3
6115,43,1,4,4,4,4,4,4,3,4,3
6121,30,0,5,4,5,4,4,3,4,5, 
